 Eloss (eV)  Int/Int(10Dq)  Int Err/Int(10Dq)
 -14.638794      -0.008105           0.000000
 -14.607069       0.010224           0.000363
 -14.575344       0.005196           0.000259
 -14.543619       0.002263           0.000171
 -14.511894       0.000201           0.000051
 -14.480169       0.006966           0.000300
 -14.448444       0.003907           0.000225
 -14.416719      -0.001095           0.000000
 -14.384994      -0.003124           0.000000
 -14.353269       0.006806           0.000296
 -14.321545       0.004097           0.000230
 -14.289820      -0.002528           0.000000
 -14.258095      -0.004504           0.000000
 -14.226370       0.008390           0.000329
 -14.194645       0.001808           0.000153
 -14.162920       0.001884           0.000156
 -14.131195      -0.002045           0.000000
 -14.099470       0.006967           0.000300
 -14.067745       0.000311           0.000063
 -14.036020      -0.011334           0.000000
 -14.004295      -0.010304           0.000000
 -13.972571      -0.000086           0.000000
 -13.940846      -0.002942           0.000000
 -13.909121      -0.001755           0.000000
 -13.877396      -0.011537           0.000000
 -13.845671       0.008299           0.000327
 -13.813946       0.003904           0.000224
 -13.782221       0.000243           0.000056
 -13.750496      -0.010804           0.000000
 -13.718771       0.010446           0.000367
 -13.687046       0.001115           0.000120
 -13.655321       0.004794           0.000249
 -13.623597      -0.000674           0.000000
 -13.591872       0.008590           0.000333
 -13.560147       0.001520           0.000140
 -13.528422       0.007051           0.000302
 -13.496697      -0.002872           0.000000
 -13.464972       0.006381           0.000287
 -13.433247       0.006847           0.000297
 -13.401522       0.001252           0.000127
 -13.369797      -0.002440           0.000000
 -13.338072       0.009393           0.000348
 -13.306347       0.004841           0.000250
 -13.274622       0.007926           0.000320
 -13.242898       0.008507           0.000331
 -13.211173       0.019015           0.000495
